"height","width","height_ini","row","col","deer","fert","spacing","cover"
333,195,20,4,15,1,1,15,2
322,182,18,4,16,0,1,15,2
418,300,25,4,17,1,1,15,2
323,169,21,4,18,1,1,15,3
243,94,18.4,5,1,0,0,15,3
423,270,22.5,5,2,0,0,15,3
361,156,19.8,5,3,0,0,15,2
283,130,24,5,4,1,0,15,0
343,196,19,5,5,0,0,15,2
403,173,19.8,5,6,0,0,15,2
400,246,24,5,7,0,0,15,1
353,172,19,5,8,1,0,15,2
320,148,16,5,9,0,0,15,1
305,129,24,5,13,1,1,15,1
252,161,19,5,14,0,1,15,3
344,20,24.5,5,15,0,1,15,2
254,123,24,5,16,0,1,15,2
203,91,19.5,5,17,0,1,15,3
228,100,20,5,18,1,0,15,3
366,151,21,6,1,1,0,15,1
427,254,18,6,3,1,0,15,3
300,56,19,6,4,1,0,15,1
313,173,12,6,6,1,0,15,3
422,316,18,6,7,1,0,15,2
412,232,16,6,8,0,0,15,0
402,235,24,6,9,1,0,15,1
349,199,22,6,10,1,1,15,0
343,193,20,6,11,1,1,15,0
414,187,14,6,12,1,1,15,0
392,188,23,6,13,0,1,15,1
251,190,21,6,14,0,1,15,0
419,244,26,6,15,1,1,15,2
206,114,15,6,16,1,1,15,3
115,96,13,6,18,0,1,15,2
452,210,23,7,2,0,0,15,2
276,157,22,7,3,0,0,15,2
310,170,22,7,4,1,0,15,1
371,229,21,7,8,0,0,15,0
294,180,19,7,9,0,0,15,0
293,139,18,7,12,0,1,15,2
229,107,22,7,13,0,1,15,3
337,178,17,7,14,0,1,15,3
129,87,19,7,16,0,1,15,3
487,110,22,7,18,1,1,15,1
483,101,19,8,2,1,0,15,2
429,200,13,8,3,0,0,15,1
298,164,12,8,4,0,0,15,2
336,188,24,8,5,1,0,15,2
190,113,10,8,6,0,0,15,3
339,153,18,8,8,1,0,15,1
319,165,19,8,9,1,0,15,3
259,147,18,8,10,1,1,15,0
374,241,31,8,11,0,1,15,1
304,156,10,8,12,0,1,15,1
345,186,21,8,13,0,1,15,0
331,177,25,8,15,1,1,15,2
298,190,20,8,16,0,1,15,3
446,265,22,8,17,0,1,15,2
306,200,15,8,18,0,1,15,1
308,151,16.5,9,1,0,0,15,3
454,218,24.8,9,2,0,0,15,1
454,198,15.4,9,3,0,0,15,0
421,228,13.6,9,4,0,0,15,2
429,156,17.1,9,5,0,0,15,2
404,240,33.4,9,8,0,0,15,0
299,147,17.7,9,9,0,0,15,0
333,187,30.1,9,10,0,1,15,0
177,75,10.1,9,11,0,1,15,0
345,155,16.4,9,12,0,1,15,0
176,105,16.6,9,14,1,1,15,1
299,177,21.9,9,15,0,1,15,0
416,184,24,9,16,0,1,15,2
309,126,17.2,9,17,0,1,15,3
162,96,7,9,18,0,1,15,0
315,164,25,10,1,1,0,15,0
458,246,12.3,10,2,0,0,15,3
352,231,12.3,10,3,0,0,15,0
327,160,18.2,10,4,0,0,15,0
397,180,13.2,10,7,0,0,15,3
407,183,16,10,9,0,0,15,0
281,185,13.4,10,10,0,1,15,0
320,190,10.7,10,12,0,1,15,0
399,244,21.1,10,13,0,1,15,1
244,128,18.2,10,14,0,1,15,0
305,179,17.3,10,15,1,1,15,2
386,152,23,10,17,1,1,15,2
352,181,18,11,2,1,0,15,1
413,150,25,11,4,0,0,15,1
413,247,19.2,11,6,0,0,15,1
273,185,18.5,11,7,0,0,15,0
374,222,16.5,11,8,0,0,15,2
389,236,19,11,10,0,1,15,1
273,162,31.5,11,12,0,1,15,0
283,166,18.5,11,13,0,1,15,2
333,195,16.3,11,14,0,1,15,1
302,134,15.5,11,15,0,1,15,2
252,183,7,11,17,1,1,15,2
98,92,9,12,1,0,0,15,2
285,170,23,12,2,0,0,15,2
261,142,18.1,12,3,0,0,15,1
332,196,29.6,12,4,1,0,15,3
428,235,27,12,5,0,0,15,1
420,241,28,12,6,0,0,15,1
443,285,24.3,12,7,0,0,15,1
382,196,26,12,8,0,0,15,1
361,210,18.5,12,9,0,0,15,1
355,218,25.5,12,10,0,1,15,3
277,110,16.3,12,11,0,1,15,2
268,122,21,12,12,0,1,15,1
393,225,16.9,12,13,0,1,15,2
279,141,24.3,12,14,0,1,15,3
281,175,16.4,12,15,0,1,15,1
280,140,21.5,12,16,0,1,15,3
305,212,15.1,12,17,1,1,15,3
331,100,19.6,13,1,0,1,15,1
400,250,21.3,13,3,0,1,15,1
341,181,19.8,13,5,0,1,15,2
298,104,16.2,13,6,0,1,15,3
323,254,18.3,13,11,0,0,15,1
305,181,18.3,13,12,0,0,15,3
316,194,17.7,13,13,0,0,15,1
297,136,19.7,13,14,1,0,15,0
408,199,16.5,13,15,1,0,15,2
325,182,15.8,13,16,0,0,15,2
365,234,13.7,13,17,1,0,15,1
293,170,20,14,1,1,1,15,1
353,203,20,14,2,0,1,15,0
422,275,6,14,3,0,1,15,0
394,228,14,14,4,0,1,15,0
363,145,6,14,5,0,1,15,1
361,200,16,14,6,0,1,15,2
195,125,15,14,8,0,1,15,0
279,178,20,14,10,0,0,15,1
310,169,15,14,11,0,0,15,2
361,249,14,14,12,0,0,15,0
337,175,16,14,14,0,0,15,1
420,244,24,14,15,0,0,15,0
453,243,27,14,16,1,0,15,0
340,146,12,14,17,0,0,15,3
325,100,18,14,18,1,0,15,3
204,113,11,15,1,1,1,15,2
314,176,17,15,3,0,1,15,3
439,178,19,15,4,0,1,15,0
282,202,18,15,6,1,1,15,3
366,250,29,15,10,1,0,15,3
340,226,20,15,12,0,0,15,3
444,272,25,15,13,1,0,15,2
356,202,26,15,14,1,0,15,0
443,200,27,15,15,1,0,15,3
484,229,24,15,16,1,0,15,2
252,157,14,15,17,1,0,15,2
351,214,23,15,18,0,0,15,0
369,206,17,16,1,1,1,15,0
411,208,24,16,2,1,1,15,0
456,234,19,16,3,1,1,15,1
219,120,18,16,4,0,1,15,2
344,193,13,16,5,1,1,15,1
279,175,13,16,7,1,1,15,0
196,110,8,16,10,1,0,15,1
333,185,17,16,11,1,0,15,0
320,163,10,16,12,1,0,15,0
270,137,20,16,13,0,0,15,3
424,213,16,16,14,0,0,15,0
401,230,15,16,15,1,0,15,2
467,247,18,16,16,1,0,15,3
387,200,10,16,17,1,0,15,2
306,140,7,16,18,1,0,15,3
364,151,33,17,1,1,1,15,2
412,203,28,17,2,1,1,15,0
438,259,20,17,3,0,1,15,2
330,153,24,17,5,0,1,15,3
393,254,14,17,6,0,1,15,3
178,94,10,17,7,0,1,15,1
311,158,25,17,9,0,1,15,3
357,207,29,17,10,1,0,15,0
306,157,24,17,12,0,0,15,3
390,267,14,17,13,1,0,15,1
348,209,6,17,14,0,0,15,0
379,264,22,17,15,0,0,15,1
383,164,20,17,16,0,0,15,2
264,165,18,17,17,1,0,15,3
372,201,16,17,18,0,0,15,2
403,227,18,18,5,0,1,15,0
374,206,21,18,6,1,1,15,0
301,170,15,18,8,1,1,15,0
343,186,24,18,11,0,0,15,1
314,163,17,18,12,0,0,15,3
309,171,19,18,13,0,0,15,2
379,248,19,18,14,0,0,15,2
342,170,15,18,15,0,0,15,0
395,209,14,18,16,0,0,15,3
315,194,14,18,17,0,0,15,2
334,200,18,18,18,1,0,15,1
351,256,22,19,3,1,1,15,1
445,217,18,19,4,1,1,15,1
401,243,20,19,5,0,1,15,1
301,180,14,19,7,0,1,15,2
227,116,13,19,10,0,0,15,0
180,97,16,19,11,0,0,15,3
137,65,10,19,12,0,0,15,3
356,209,22,19,14,0,0,15,1
384,228,17,19,15,0,0,15,2
353,196,16,19,16,0,0,15,2
434,196,13,19,17,1,0,15,1
299,143,24,19,18,0,0,15,3
339,274,33,20,3,1,1,15,1
235,123,20,20,4,0,1,15,0
362,237,20,20,5,1,1,15,1
326,202,24,20,7,1,1,15,1
321,191,25,20,8,1,1,15,1
273,158,20,20,10,0,0,15,2
408,247,30,20,14,0,0,15,2
414,192,26,20,15,0,0,15,2
427,207,18,20,16,0,0,15,2
313,155,17,20,17,0,0,15,2
334,139,20,20,18,1,0,15,2
372,173,16,21,2,0,1,15,1
108,64,11,21,3,0,1,15,3
364,212,27,21,6,0,1,15,3
316,154,15,21,7,0,1,15,0
385,213,29,21,8,0,1,15,1
325,190,25,21,9,0,1,15,0
390,194,33,21,10,0,0,15,1
436,208,27,21,11,0,0,15,1
402,188,18,21,12,1,0,15,0
414,240,30,21,13,0,0,15,0
403,186,12,21,14,0,0,15,0
365,198,34,21,15,0,0,15,0
473,200,18,21,16,0,0,15,3
381,207,26,21,17,0,0,15,1
294,199,28,21,18,0,0,15,2
345,220,29,22,2,0,1,15,0
319,100,17,22,3,0,1,15,2
210,100,10,22,4,0,1,15,3
92,60,20,22,5,0,1,15,0
408,250,39,22,7,1,1,15,0
366,330,24,22,8,1,1,15,0
390,213,23,22,11,0,0,15,1
398,215,18,22,12,0,0,15,3
358,202,15,22,13,1,0,15,2
383,194,21,22,14,1,0,15,1
355,248,23,22,15,0,0,15,1
402,199,8,22,16,0,0,15,1
403,162,22,22,17,1,0,15,3
240,109,12,22,18,0,0,15,1
401,200,33,23,2,1,1,15,0
134,100,25,23,3,1,1,15,0
420,275,23,23,5,0,1,15,1
367,204,20,23,6,0,1,15,0
387,203,22,23,7,0,1,15,0
223,135,20,23,8,0,1,15,0
262,134,18,23,9,0,1,15,0
308,171,24,23,11,0,0,15,1
353,179,13,23,13,0,0,15,2
388,236,21,23,14,0,0,15,2
303,193,24,23,16,0,0,15,3
384,182,21,23,17,0,0,15,2
381,183,13,23,18,0,0,15,1
238,123,18,24,1,0,0,10,2
379,215,23,24,2,1,0,10,1
426,236,17,24,3,1,0,10,3
198,145,16,24,4,1,0,10,3
422,200,34,24,6,0,0,10,2
407,202,29,24,7,1,0,10,1
272,180,19,24,8,1,0,10,3
286,116,20,24,9,1,0,10,2
370,230,30,24,10,1,0,10,0
441,246,39,24,12,0,0,10,1
310,186,17,24,14,0,1,10,0
269,126,29,24,16,1,1,10,0
177,120,20,24,18,0,1,10,0
368,210,23,24,21,1,1,10,1
319,193,20,24,22,0,1,10,0
321,170,35,24,23,0,1,10,1
318,192,12,24,24,0,1,10,1
366,195,28,24,25,0,1,10,2
359,230,20,24,26,0,1,10,2
351,194,14,24,27,1,1,10,3
140,70,17,24,29,0,1,10,3
279,140,22,25,1,0,0,10,3
325,190,25,25,2,0,0,10,2
425,282,17,25,3,0,0,10,1
469,230,29,25,4,0,0,10,1
464,220,14,25,5,1,0,10,1
327,150,15,25,6,0,0,10,2
170,95,28,25,7,0,0,10,3
427,203,18,25,8,1,0,10,2
270,147,22,25,9,0,0,10,0
351,205,20,25,10,0,0,10,0
414,210,19,25,11,0,0,10,1
467,230,30,25,12,0,0,10,2
375,222,32,25,13,1,0,10,1
334,235,22,25,14,1,1,10,1
202,160,19,25,17,0,1,10,0
355,202,32,25,19,1,1,10,1
287,150,24,25,21,1,1,10,0
357,216,27,25,22,0,1,10,2
392,230,10,25,23,0,1,10,1
202,120,18,25,24,1,1,10,3
166,80,13,25,25,0,1,10,3
345,120,15,25,26,0,1,10,2
454,150,6,25,27,0,1,10,2
128,50,7,25,28,0,1,10,3
379,205,6,25,29,1,1,10,3
375,140,7,25,30,0,1,10,3
363,211,12,26,1,0,0,10,3
87,78,7.5,26,2,0,0,10,1
357,162,16.8,26,3,0,0,10,3
384,197,21,26,4,0,0,10,1
501,236,29.2,26,5,1,0,10,1
201,105,7,26,6,0,0,10,3
312,203,17,26,7,0,0,10,0
356,240,23,26,8,0,0,10,1
424,235,22,26,9,0,0,10,1
367,203,20,26,10,0,0,10,0
477,244,7.3,26,11,0,0,10,0
381,210,25,26,12,0,0,10,0
339,165,11,26,13,1,0,10,2
257,185,26,26,16,1,1,10,0
360,190,25,26,17,0,1,10,0
267,161,12,26,18,0,1,10,0
323,150,15,26,19,1,1,10,0
325,120,21,26,20,0,1,10,0
294,184,29,26,21,0,1,10,0
376,170,23,26,22,0,1,10,0
442,218,12,26,23,0,1,10,1
381,199,15,26,24,0,1,10,2
399,194,16,26,25,0,1,10,0
313,156,13,26,26,0,1,10,2
408,230,20,26,27,0,1,10,1
448,248,18,26,28,0,1,10,1
360,150,17,26,29,0,1,10,3
412,220,15,26,30,1,1,10,2
297,152,15,27,1,0,0,10,0
310,142,23,27,3,0,0,10,1
458,237,25,27,4,0,0,10,0
408,162,13,27,5,0,0,10,2
454,225,14,27,6,0,0,10,3
420,171,23,27,7,0,0,10,1
258,121,14,27,8,0,0,10,0
87,61,17,27,9,0,0,10,3
299,199,17,27,10,0,0,10,0
267,152,16,27,11,1,0,10,0
373,228,18,27,12,0,0,10,0
386,238,18,27,13,0,0,10,0
366,224,15,27,14,0,1,10,0
266,151,20,27,16,0,1,10,0
251,170,17,27,17,0,1,10,0
257,170,17,27,18,1,1,10,1
386,197,24,27,19,0,1,10,0
376,180,19,27,21,0,1,10,3
456,253,19,27,22,0,1,10,1
388,183,22.5,27,23,1,1,10,3
291,161,10,27,25,0,1,10,1
371,204,13,27,26,1,1,10,1
190,118,14,27,27,0,1,10,2
345,218,20,27,28,1,1,10,1
229,149,19,27,29,0,1,10,3
364,150,25,27,30,1,1,10,2
278,146,18,28,1,0,0,10,0
433,173,12,28,2,0,0,10,0
421,227,13,28,3,0,0,10,0
444,208,32,28,4,0,0,10,2
476,237,11,28,5,1,0,10,0
510,212,27,28,6,0,0,10,2
462,185,15,28,7,0,0,10,1
383,188,21,28,8,1,0,10,1
163,97,20,28,9,0,0,10,3
413,193,14,28,10,0,0,10,0
270,146,13,28,11,0,0,10,0
399,225,7,28,13,0,0,10,0
327,198,20,28,16,0,1,10,0
115,68,9,28,17,0,1,10,3
326,170,26,28,18,0,1,10,0
449,247,16,28,19,1,1,10,1
423,209,22,28,20,0,1,10,0
464,308,33,28,21,0,1,10,1
297,187,19,28,23,0,1,10,1
442,230,18,28,25,0,1,10,0
415,258,19,28,26,0,1,10,1
329,258,16,28,27,0,1,10,3
365,176,23,28,29,0,1,10,0
367,190,20,29,1,1,0,10,0
331,187,20,29,2,0,0,10,2
359,167,17,29,3,0,0,10,2
414,233,16,29,4,1,0,10,2
444,243,13,29,5,0,0,10,2
310,181,12,29,7,0,0,10,0
356,158,14,29,8,1,0,10,2
388,211,21,29,10,1,0,10,0
429,264,16,29,11,0,0,10,2
362,196,18,29,12,1,0,10,1
380,206,7,29,13,1,0,10,0
343,207,21,29,16,0,1,10,2
419,220,21,29,17,0,1,10,2
460,270,20,29,18,0,1,10,0
356,197,22,29,19,0,1,10,2
381,235,10,29,21,0,1,10,0
303,174,24,29,22,0,1,10,3
276,135,17,29,24,0,1,10,3
428,220,11,29,26,0,1,10,2
409,255,22,29,27,0,1,10,2
319,185,16,29,29,1,1,10,1
410,195,21,30,1,0,0,10,0
366,170,18,30,2,0,0,10,0
397,193,18,30,3,0,0,10,3
353,164,17,30,4,0,0,10,2
391,184,23,30,6,0,0,10,2
284,121,11,30,7,0,0,10,0
125,60,19,30,8,0,0,10,3
434,274,21,30,11,0,0,10,0
464,255,18,30,12,0,0,10,0
325,191,14,30,13,0,0,10,1
331,210,16,30,14,0,1,10,1
342,196,20,30,18,0,1,10,1
158,144,22,30,19,0,1,10,3
322,255,22,30,20,0,1,10,0
362,240,17,30,21,0,1,10,1
401,231,30,30,22,0,1,10,2
300,140,14,30,24,1,1,10,1
297,132,18,30,25,0,1,10,0
244,120,14,30,26,0,1,10,3
266,114,14,30,27,0,1,10,2
103,96,16,31,1,0,0,10,3
284,132,15.2,31,2,0,0,10,2
398,219,19,31,3,0,0,10,1
407,177,9.5,31,4,0,0,10,1
425,238,18,31,5,0,0,10,2
419,200,21,31,6,0,0,10,3
376,212,21,31,10,0,0,10,3
377,210,14.5,31,14,1,1,10,3
344,167,24,31,15,1,1,10,2
408,245,18.2,31,17,1,1,10,0
183,110,11.1,31,18,0,1,10,3
328,120,20.5,31,19,0,1,10,3
321,143,14,31,22,0,1,10,2
473,205,15,31,23,1,1,10,1
411,225,17.3,31,25,1,1,10,0
411,200,16.2,31,26,0,1,10,2
305,145,14.5,31,27,1,1,10,3
395,167,23,32,1,0,0,10,0
405,192,24,32,2,1,0,10,0
426,210,23,32,3,1,0,10,2
462,285,13,32,4,0,0,10,3
357,164,27,32,6,0,0,10,3
126,68,16,32,8,0,0,10,0
250,115,16,32,9,0,0,10,3
319,163,22,32,10,0,0,10,3
435,270,25,32,11,0,0,10,0
390,205,23,32,12,0,0,10,0
308,129,30,32,13,0,0,10,3
361,201,20,32,16,0,1,10,1
353,198,28,32,17,1,1,10,0
363,225,24,32,18,0,1,10,2
443,235,11,32,19,1,1,10,0
370,208,18,32,20,0,1,10,3
330,210,19,32,21,1,1,10,1
299,182,18,32,23,0,1,10,2
441,203,22,32,24,0,1,10,1
323,173,17,32,25,0,1,10,0
231,120,13,32,26,0,1,10,2
198,105,17,32,27,1,1,10,3
462,171,18,33,1,1,0,10,2
457,196,19,33,2,0,0,10,0
390,153,15,33,3,0,0,10,2
365,176,20,33,4,0,0,10,1
438,96,22,33,5,0,0,10,0
394,186,21,33,6,0,0,10,3
403,200,20,33,7,0,0,10,2
425,204,19,33,8,0,0,10,0
267,102,22,33,9,0,0,10,2
457,104,21,33,10,0,0,10,3
265,137,16,33,11,0,0,10,3
412,235,27,33,12,0,0,10,2
374,119,13,33,13,0,0,10,3
395,207,17,33,14,0,1,10,3
337,190,19,33,16,0,1,10,1
437,233,17,33,18,0,1,10,3
328,174,14,33,19,0,1,10,3
455,226,16,33,20,0,1,10,3
403,145,17,33,21,0,1,10,3
318,157,22,33,21,0,1,10,0
374,192,24,33,23,0,1,10,2
408,203,13,33,24,0,1,10,2
406,174,17,33,25,0,1,10,2
285,47,16.2,33,27,0,1,10,3
459,190,19,34,2,1,1,10,0
496,255,21,34,3,0,1,10,3
423,170,20,34,5,1,1,10,3
447,195,21,34,6,0,1,10,3
436,200,24,34,7,1,1,10,2
228,100,21,34,8,0,1,10,2
286,122,20,34,9,0,1,10,3
387,157,19,34,10,0,1,10,3
206,115,18,34,11,0,1,10,3
318,130,20,34,12,0,1,10,3
200,132,20,34,13,0,1,10,3
301,182,22,34,14,0,0,10,2
418,191,22,34,15,1,0,10,0
370,193,19,34,16,0,0,10,0
336,160,18,34,17,0,0,10,2
362,150,18,34,18,0,0,10,2
446,185,17,34,19,0,0,10,2
371,195,25,34,20,0,0,10,0
550,210,20,34,21,0,0,10,1
452,160,20,34,22,1,0,10,2
403,180,18,34,23,0,0,10,0
440,200,20,34,24,0,0,10,1
358,113,17,34,25,0,0,10,3
454,260,14,34,26,0,0,10,2
420,230,15,34,27,1,0,10,1
429,245,30,35,1,0,1,10,0
399,233,30,35,2,0,1,10,0
263,131,15,35,3,0,1,10,2
367,137,21,35,5,0,1,10,3
366,169,22,35,6,1,1,10,3
242,143,22,35,10,0,1,10,3
200,128,14,35,11,0,1,10,2
300,147,17,35,12,0,1,10,2
389,234,11,35,13,0,1,10,2
281,138,19,35,14,0,0,10,2
373,225,20,35,15,0,0,10,0
399,280,17,35,16,0,0,10,1
340,183,18,35,17,0,0,10,0
222,100,13,35,18,0,0,10,3
394,242,22,35,19,0,0,10,1
366,184,19,35,20,1,0,10,3
462,226,14,35,21,0,0,10,2
417,250,14,35,22,0,0,10,2
354,184,16,35,23,0,0,10,0
312,152,11,35,24,0,0,10,0
404,202,21,35,25,1,0,10,1
282,211,16,35,26,0,0,10,0
228,161,15,35,27,0,0,10,1
385,218,27,36,1,0,1,10,0
331,140,17,36,2,1,1,10,0
455,227,16,36,3,0,1,10,0
439,165,23,36,5,0,1,10,1
320,177,26,36,6,0,1,10,1
230,100,24,36,7,0,1,10,1
345,165,29,36,9,0,1,10,1
377,156,20,36,11,0,1,10,1
325,180,25,36,12,0,1,10,1
339,168,20,36,13,0,1,10,1
393,215,30,36,14,0,0,10,0
355,174,23,36,15,0,0,10,1
358,181,23,36,16,0,0,10,1
347,245,20,36,17,0,0,10,1
415,163,23,36,18,0,0,10,1
144,84,16,36,19,0,0,10,1
509,269,20,36,20,0,0,10,1
360,204,20,36,21,0,0,10,1
415,189,10,36,23,1,0,10,1
431,232,22,36,24,0,0,10,1
440,200,24,36,25,1,0,10,1
354,141,24,36,26,1,0,10,1
369,165,21,36,27,1,0,10,1
125,168,23,37,2,0,1,10,2
306,161,22,37,5,1,1,10,1
277,161,26,37,6,0,1,10,3
342,152,14,37,7,0,1,10,3
421,203,26,37,8,1,1,10,3
275,122,27,37,9,0,1,10,3
308,149,21,37,10,0,1,10,3
240,162,18,37,11,0,1,10,3
268,134,23,37,12,0,1,10,3
406,203,7,37,13,1,1,10,1
378,243,24,37,14,0,0,10,0
399,260,13.5,37,15,0,0,10,3
365,200,7,37,16,0,0,10,3
360,200,6,37,17,0,0,10,3
322,184,11,37,18,0,0,10,3
366,160,22,37,19,0,0,10,3
254,118,17,37,20,0,0,10,3
511,335,22.5,37,21,1,0,10,2
414,200,12,37,22,0,0,10,3
373,192,18,37,23,1,0,10,1
429,270,8,37,24,0,0,10,3
442,236,13,37,25,0,0,10,2
442,220,19,37,26,1,0,10,3
304,183,17.5,37,27,1,0,10,1
325,168,21,38,1,1,1,10,1
249,179,10,38,2,0,1,10,3
160,85,17,38,3,0,1,10,3
138,78,19,38,5,0,1,10,3
421,180,16,38,6,0,1,10,2
325,161,16,38,7,0,1,10,3
301,187,18,38,8,1,1,10,0
357,140,24,38,9,1,1,10,3
426,213,19,38,10,0,1,10,3
471,197,17,38,11,0,1,10,2
353,168,11,38,12,0,1,10,0
348,203,17,38,13,0,1,10,2
397,208,23,38,14,0,0,10,2
307,137,11,38,15,0,0,10,3
350,155,22,38,16,0,0,10,2
397,162,16,38,17,0,0,10,2
322,158,20,38,18,0,0,10,2
413,212,19,38,19,0,0,10,3
384,230,20,38,20,1,0,10,1
469,315,13,38,21,0,0,10,3
392,188,11.5,38,22,0,0,10,3
371,168,15,38,23,1,0,10,1
423,246,15,38,24,0,0,10,0
394,220,16,38,25,0,0,10,0
435,180,14,38,26,1,0,10,2
276,90,29,39,2,0,1,10,0
352,135,18,39,3,0,1,10,3
408,159,27,39,4,0,1,10,0
396,155,24,39,5,0,1,10,2
221,89,8,39,6,0,1,10,0
338,181,21,39,7,0,1,10,1
349,137,19,39,8,0,1,10,2
284,141,19,39,9,0,1,10,3
163,92,23,39,10,0,1,10,3
401,209,21,39,11,0,1,10,1
346,142,31,39,13,0,1,10,0
333,183,13,39,14,0,0,10,2
407,205,15,39,15,0,0,10,2
478,172,14,39,16,0,0,10,1
474,216,14,39,19,1,0,10,1
427,205,18,39,20,0,0,10,1
397,202,19,39,21,0,0,10,1
544,280,21,39,22,0,0,10,1
418,174,23,39,23,0,0,10,1
371,162,20,39,24,0,0,10,2
374,163,21,39,25,0,0,10,2
398,98,15,39,26,0,0,10,2
321,142,29,39,27,0,0,10,1
364,173,18,40,1,1,1,10,3
320,167,25,40,2,0,1,10,3
462,273,20,40,3,0,1,10,2
433,280,27,40,4,0,1,10,2
309,169,20,40,5,0,1,10,3
425,241,20,40,6,0,1,10,1
143,115,22,40,7,0,1,10,3
386,218,16,40,8,1,1,10,2
450,236,24,40,9,0,1,10,1
419,230,14,40,10,0,1,10,2
355,169,17,40,11,0,1,10,1
447,246,22,40,12,0,1,10,3
427,208,20,40,13,0,1,10,2
379,138,23,40,14,0,0,10,3
371,184,11,40,15,0,0,10,3
408,230,19,40,16,0,0,10,3
384,191,16,40,17,1,0,10,3
486,208,12,40,19,0,0,10,2
316,134,10,40,20,0,0,10,2
459,270,25,40,21,0,0,10,2
510,292,18,40,22,1,0,10,1
413,183,21,40,23,0,0,10,2
382,192,18,40,24,0,0,10,1
432,226,18,40,25,0,0,10,2
431,183,21,40,26,0,0,10,1
386,163,20,40,27,1,0,10,1
382,218,28,41,1,1,1,10,0
310,147,20,41,3,0,1,10,0
416,220,28,41,4,1,1,10,0
364,169,24,41,6,0,1,10,3
428,192,27,41,7,0,1,10,3
339,142,20,41,8,0,1,10,3
438,262,22,41,9,1,1,10,2
315,129,24,41,11,0,1,10,3
457,210,26,41,12,0,1,10,3
364,157,18,41,13,0,1,10,3
419,220,30,41,14,0,0,10,1
401,183,19,41,15,0,0,10,2
379,202,20,41,16,0,0,10,3
411,209,16,41,17,0,0,10,3
420,194,14,41,18,1,0,10,2
405,229,28,41,19,0,0,10,2
558,290,35,41,21,0,0,10,2
371,181,15,41,22,1,0,10,3
375,191,19,41,23,1,0,10,3
407,272,28,41,24,1,0,10,1
418,264,34,41,25,1,0,10,1
320,165,23,41,26,1,0,10,0
319,188,20,41,27,1,0,10,1
327,182,15,42,2,1,1,10,1
408,222,34,42,3,1,1,10,3
362,177,11,42,4,0,1,10,2
425,227,20,42,5,0,1,10,1
219,155,25,42,6,0,1,10,3
405,199,22,42,7,1,1,10,1
310,150,24,42,8,0,1,10,3
482,300,15,42,9,1,1,10,2
409,204,20,42,10,0,1,10,1
294,121,16,42,13,0,1,10,2
356,158,19,42,14,1,0,10,0
551,339,25,42,16,0,0,10,2
407,230,15,42,17,1,0,10,2
473,280,20,42,18,0,0,10,1
381,194,19,42,19,1,0,10,1
312,162,9,42,20,0,0,10,1
360,178,13,42,21,0,0,10,2
463,211,9,42,22,0,0,10,3
437,224,12,42,23,1,0,10,2
482,244,24,42,24,0,0,10,1
401,215,10,42,25,1,0,10,1
345,160,19,42,26,0,0,10,2
399,185,11,42,27,1,0,10,2
235,135,17,43,1,1,1,10,0
330,177,30,43,2,1,1,10,1
335,169,17,43,3,0,1,10,3
393,226,30,43,4,0,1,10,3
332,147,20,43,5,1,1,10,3
387,186,22,43,6,1,1,10,1
310,162,27,43,7,0,1,10,3
242,148,17,43,8,0,1,10,3
347,160,20,43,10,0,1,10,2
